time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15
58,1176.034,833.672,1071.576,871.341,1014.124,1840.91,1144.393,1463.791,1347.666,1315.51,552.758,3546.395,3775.994,2661.481,1299.19
59,1136.547,847.044,1040.156,917.591,1025.392,1873.088,1140.873,1431.274,1295.904,1298.438,559.442,3553.613,3636.823,2626.943,1245.684
60,1132.81,852.393,1067.969,892.74,1050.903,1728.177,1105.112,1387.959,1299.176,1282.617,538.059,3555.361,3832.161,2583.215,1297.839
61,1168.508,759.312,1026.211,895.872,1031.641,1807.787,1087.277,1441.534,1306.294,1271.193,516.867,3736.728,3754.804,2676.554,1317.113
62,1149.701,822.831,1038.88,880.682,997.879,1812.503,1141.741,1415.783,1263.513,1251.63,521.898,3660.501,3710.082,2747.117,1284.373
63,1169.169,810.531,1066.089,878.102,1034.919,1885.324,1137.656,1414.425,1276.656,1294.195,491.57,3578.874,3731.389,2726.462,1273.701
64,1165.992,813.331,1032.224,925.87,1056.99,1885.421,1165.772,1377.816,1335.413,1267.341,437.487,3629.828,3917.392,2875.924,1314.293
65,1175.495,788.307,1024.43,872.286,1017.482,1876.34,1169.154,1351.935,1308.113,1230.016,465.938,3764.476,3934.791,2860.405,1326.592
66,1211.714,823.747,1044.911,872.57,1051.988,1911.917,1141.261,1403.315,1336.577,1278.536,477.249,3745.948,3956.835,2827.481,1325.052
67,1163.461,813.076,1043.474,855.201,991.278,1853.298,1165.877,1370.266,1270.397,1235.242,435.119,3725.08,3905.158,2817.345,1282.802
68,1172.482,846.211,1046.914,884.758,1053.128,1858.702,1152.471,1390.759,1300.287,1313.948,447.532,3733.84,3853.101,2855.101,1272.976
69,1164.576,836.091,1033.438,867.63,996.197,1711.205,1160.478,1424.945,1299.817,1297.471,463.304,3816.774,3850.763,2866.117,1259.817
70,1166.516,812.742,1004.56,928.128,1050.147,1757.523,1208.596,1399.452,1328.829,1315.737,429.618,3750.057,3837.908,2786.158,1307.331
