time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15
58,1976.676,2573.986,3832.659,2524,1377.285,1510.841,1991.329,3724.337,1091.498,1646.046,2732.092,2160.181,2048.741,1719.003,743.589
59,1998.017,2492.891,3686.14,2384.231,1374.489,1480.487,1980.009,3661.05,1074.834,1708.239,2956.399,2154.888,2021.698,1725.03,749.743
60,2029.195,2361.785,3692.668,2456.418,1424.283,1507.496,2005.056,3525.008,1046.548,1679.75,3141.908,2101.838,2044.639,1692.82,695.017
61,2096.914,2346.169,3525.774,2473.505,1367.106,1543.97,1987.934,3567.839,960.947,1589.556,3194.014,2094.931,2149.924,1724.8,826.314
62,2066.284,2362.751,3564.221,2486.721,1437.217,1508.078,1911.782,3537.059,908.921,1651.148,3282.366,2113.145,2184.983,1765.398,851.394
63,2068.622,2484.877,3470.616,2546.774,1464.046,1555.45,1987.71,3652.153,955.418,1686.139,3059.033,2166.238,2125.646,1784.98,770.715
64,2197.49,2422.88,3433.166,2474.471,1415.728,1511.487,1954.192,3684.379,916.346,1708.72,2973.432,2167.556,2140.106,1797.948,756.204
65,2232.447,2468.427,3388.696,2634.351,1395.285,1495.941,1972.74,3773.298,893.789,1582.469,2928.35,2171.86,2106.248,1761.533,736.335
66,2220.166,2375.888,3318.226,2622.375,1429.92,1440.041,1991.932,3708.558,1052.647,1537.887,2873.489,2156.518,2060.436,1766.707,712.273
67,2200.991,2387.777,3401.255,2458.697,1412.956,1341.561,1962.353,3620.83,1021.039,1503.526,2935.205,2095.615,2061.126,1778.004,743.095
68,2161.88,2525.487,3301.287,2528.712,1327.141,1281.12,1955.442,3547.836,1081.248,1597.552,2663.919,2119.05,2134.329,1806.682,732.216
69,2184.126,2549.564,3325.083,2559.688,1396.044,1268.081,2026.866,3528.525,1054.105,1501.95,2807.875,2152.166,2080.869,1798.464,772.694
70,2118.693,2477.115,3267.573,2489.481,1423.259,1298.963,2086.129,3661.507,1058.256,1579.35,2678.43,2164.646,2103.023,1833.32,877.413
