time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21
60,1666.009,1168.37,1383.161,1329.809,689.193,1074.089,1062.873,415.097,647.034,1924.413,1322.053,1034.582,2098.234,1750.273,1354,1089.039,984.358,1239.434,1292.699,1112.111,1423.904
62,1639.289,1122.734,1376.518,1295.88,690.232,1135.86,1022.813,364.742,707.269,1933.676,1255.298,1129.091,2197.117,1739.043,1314.855,1078.809,984.655,1239.579,1295.793,1276.615,1241.627
64,1618.997,1205.295,1386.088,1221.404,661.107,1161.618,1093.687,414.67,849.096,1932.751,1383.378,1157.808,2148.977,1813.203,1302.312,1224.852,930.003,1303.9,1368.2,1227.442,1358.842
66,1647.567,1132.49,1439.737,1288,723.417,1068.304,1004.595,384.077,865.452,1997.342,1367.822,1225.077,2260.637,1860.262,1267.883,1254.914,1026.104,1260.264,1359.016,1208.764,1448.593
68,1675.249,1214.774,1453.474,1244.791,769.701,1114.758,999.858,378.427,846.433,1976.849,1327.151,1153.024,2286.281,1834.723,1248.234,1312.039,1099.915,1291.677,1426.18,1293.332,1394.531
70,1701.066,1288.825,1466.234,1354.2,748.148,1143.328,1094.016,369.648,699.615,1974.084,1392.893,1109.163,2189.191,1899.695,1270.355,1301.039,991.275,1274.652,1490.454,1294.615,1349.689
72,1691.241,1246.989,1524.949,1477.862,780.875,1157.126,1120.693,412.785,698.957,1897.333,1453.258,1154.192,2244.18,1902.332,1320.484,1309.656,1001.222,1299.485,1542.262,1348.611,1423.898
74,1775.183,1243.183,1363.431,1414.498,733.565,1195.116,1106.079,451.275,785.611,1985.32,1419.071,1223.457,2320.902,1960.133,1351.141,1420.129,1084.551,1379.863,1575.076,1371.322,1631.339
76,1742.914,1285.871,1539.153,1404.853,768.411,1205.225,1095.44,460.648,735.913,2055.258,1437.022,1256.976,2257.773,2096.344,1424.277,1534.676,1101.326,1442.796,1544.493,1366.995,1562.525
78,1677.84,1338.791,1524.153,1514.156,770.133,1194.423,1154.94,457.911,795.322,2072.262,1523.56,1191.683,2379.637,2060.156,1384.871,1446.75,1119.038,1439.998,1555.971,1313.404,1770.48
80,1838.189,1381.748,1557.328,1560.467,677.417,1166.082,1117.051,472.857,821.654,2085.222,1645.889,1247.024,2353.902,2124.414,1399.535,1350.762,1120.272,1467.258,1595.935,1377.562,1601.169
82,1646.768,1302.166,1539.029,1417.382,658.292,1167.143,1169.383,454.261,765.712,2048.084,1594.524,1359.389,2470.727,2146.004,1365.5,1426.98,1082.038,1481.407,1528.665,1413.688,1742.768
84,1678.235,1299.897,1588.672,1569.329,729.638,1212.874,1157.487,434.375,735.087,2177.613,1613.667,1415.567,2446.531,2225.594,1368.227,1329.332,1046.766,1419.26,1569.172,1421.971,1772.876
86,1647.834,1259.599,1663.679,1734.547,712.805,1265.017,1128.016,446.602,804.865,2091.209,1479.4,1446.678,2403.34,2121.352,1481.871,1389.59,1064.854,1492.401,1634.329,1427.442,1909.904
88,1745.198,1354.43,1674.898,1810.996,772.198,1273.498,1237.244,445.656,801.688,2152.498,1555.56,1377.904,2496.93,2180.641,1380.648,1397.734,1148.307,1486.746,1651.742,1550.308,1904.542
90,1647.129,1344.083,1524.766,1834.56,780.633,1220.311,1141.889,452.547,808.976,2049.111,1508.204,1401.365,2567.34,2233.07,1509.121,1380.137,1254.706,1495.198,1644.217,1607.611,1926.542
92,1651.877,1305.599,1575.942,1560.711,762.565,1140.317,1105.225,426.748,726.572,2110.333,1475.924,1432.832,2558.375,2377.641,1391.016,1353.566,1131.313,1502.885,1645.427,1622.438,1900.638
94,1672.367,1328.705,1603.146,1715.667,810.508,1157.433,1166.089,427.175,750.308,2038.88,1500.276,1394.933,2584.711,2382.434,1367.949,1375.137,1096.57,1454.765,1581.624,1575.087,1877.785
96,1795.35,1328.871,1619.168,1610.524,753.872,1222.898,1048.703,454.579,743.798,2136.28,1541.049,1538.76,2676.727,2333.086,1447.863,1390.945,1117.756,1520.908,1624.44,1619.529,1729.667
98,1678.762,1315.352,1644.985,1629.764,751.24,1236.485,1124.326,467.467,713.404,2132.111,1671.52,1476.264,2602.965,2376.25,1417.375,1493.133,1160.889,1527.63,1655.108,1718.096,1832.763
