time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18
78,1218.27,1723.198,1290.914,2004.057,1493.887,2109.106,1885.293,3976.135,2297.87,1444.116,1846.41,1839.413,1562.915,1348.278,2334.969,3914.959,2076.395,3614.008
80,1231.232,1690.202,1279.732,1994.53,1480.605,2216.149,1813.673,3770.154,2221.774,1449.922,1832.348,1802.84,1412.3,1339.934,2406.356,3867.221,2065.676,3615.742
82,1242.608,1711.265,1346.776,1976.948,1503.492,2273.553,1839.25,3792.288,2312.75,1451.881,1775.116,1845.01,1457.167,1350.589,2418.935,3887.988,2129.387,3598.242
84,1177.253,1709.681,1301.266,1992.672,1483.539,2238.37,1728.716,3823.038,2266.827,1373.307,1822.625,1863.648,1521.553,1319.263,2362.724,3975.791,2084.816,3556.848
86,1229.526,1681.532,1337.523,2006.957,1461.695,2352.62,1707.909,3832.37,2322.909,1445.901,1851.676,1876.86,1521.338,1382.472,2361.018,3873.053,2079.129,3546.066
88,1258.771,1707.671,1284.497,2002.195,1440.914,2302.01,1573.726,3959.587,2257.317,1434.983,1771.509,1788.232,1473.044,1303.652,2339.832,3831.313,2044.676,3516.199
90,1209.198,1663.577,1303.185,2036.646,1518.246,2260.923,1662.466,3945.558,2223.288,1434.788,1797.959,1869.539,1500.635,1295.731,2242.065,3843.207,2145.891,3408.859
92,1269.512,1773.188,1366.099,2157.259,1511.34,2192.51,1729.736,3664.409,2317.649,1487.396,1836.529,1905.584,1478.474,1278.019,2285.556,3865.943,2150.414,3504.516
94,1183.167,1692.77,1324.292,2139.173,1598.148,2230.649,1673.534,3600.822,2336.889,1547.573,1884.3,1949.778,1524.782,1311.715,2324.755,3846.605,2186,3527.871
96,1198.515,1646.051,1352.349,2058.686,1573.637,2234.745,1735.481,3768.909,2153.538,1557.133,1862.819,1906.034,1484.577,1354.396,2301.98,3740.961,2187.719,3460.621
98,1178.495,1594.003,1320.174,2126.413,1593.43,2226.909,1654.226,3594.62,2029.611,1530.775,1786.133,1848.997,1425.785,1335.193,2222.397,3778.781,2292.398,3412.539
