time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21
72,1357.312,3962.481,1323.981,974.424,712.024,1182.846,2602.284,1685.865,2370.471,3577.37,1093.043,1731.258,3070.893,1662.452,769.706,3023.203,823.311,1675.25,2268.305,1132.969,2000.604
74,1475.713,3979.853,1374.5,1054.938,846.351,1267.468,2413.221,1708.216,2386.611,3503.361,1073.715,1749.129,2968.39,1638.102,822.164,3037.006,837.051,1755.699,2237.492,1069.212,1971.498
76,1421.787,4128.891,1442.558,1033.028,791.644,1296.237,2469.082,1708.115,2425.707,3704.389,1125.004,1590.498,3130.537,1580.141,855.627,3124.13,858.305,1829.57,2266.297,1071.447,2101.055
78,1423.45,3839.314,1403.051,1082.757,782.322,1194,2419.01,1638.226,2412.875,3723.409,1085.637,1657.431,3115.525,1541.107,896.61,3239.661,978.633,1847.898,2324.98,1086.375,2125.799
80,1477.562,3828.468,1463.814,1044.486,867.731,1218.872,2413.827,1679.385,2393.125,3625.067,1129.922,1669.676,3168.073,1514.994,852.316,3124.35,938.644,1816.918,2274.418,1100.423,2086.911
82,1427.35,3785.173,1512.34,1005.051,782.784,1312.891,2528.284,1700.346,2349.587,3655.88,1098.387,1431.751,3100.203,1599.124,897.017,3104.881,886.644,1851.586,2333.883,1045.669,2193.962
84,1496.55,3736.904,1555.391,981.87,755.798,1291.506,2423.697,1709.082,2443.226,3573.341,1148.02,1619.942,3179.65,1721.667,902.373,3134.672,971.062,1913.586,2384.57,1030.519,2163.935
86,1591.112,3908.686,1591.538,906.554,738.75,1347.917,2385.067,1870.976,2522.183,3744.26,1108.816,1652.08,3195.593,1746.548,896.412,3111.311,912.203,1915.211,2384.922,1098.635,2169.208
88,1573.062,3697.442,1630.269,990.661,787.524,1427.064,2410.971,1870.394,2574.356,3700.63,1220.59,1613.191,3292.232,1769.379,863.944,3249.203,1011.955,1934.301,2445.066,1044.15,2290.427
90,1678.125,4011.987,1737.827,1032.994,855.899,1365.526,2489.827,1829.601,2652.654,3752.659,1228.996,1611.018,3487.531,1751.938,954.921,3356.514,1089.525,1942.238,2525.59,1073.73,2358.546
92,1631.062,3665.724,1647.314,937.435,806.75,1514.577,2538.163,1825.034,2486.106,3809.192,1328.098,1741.573,3232.655,1659.373,850.78,3431.678,979.463,1961.773,2470.98,966.836,2240.239
94,1643.263,3700.186,1614.519,922.192,735.447,1543.808,2485.779,1807.053,2445.5,3661.615,1218.262,1607.973,3308.531,1732.164,910.994,3408.119,1071.96,1899.562,2512.117,1064.457,2332.683
96,1650.125,3607.692,1642.244,922.339,730.995,1530.308,2299.731,1770.298,2509.942,3625.188,1218.207,1600.453,3212.876,1606.576,892.847,3248.435,890.418,1844.363,2502.688,1073.317,2270.027
98,1676.675,3407.051,1699.962,908.175,749.832,1535.641,2432.764,1718.082,2564.356,3688.404,1225.312,1684.618,3177.446,1709.362,996.667,3142.492,956.989,1883.227,2606.156,1094.181,2295.137
