time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20
72,1634.131,1194.102,1258.668,1377.364,2140.307,1738.292,1486.5,1063.089,1309.792,1385.466,1901.966,2739.888,1923.275,1816.861,2742.418,1951.332,1632.41,1812.891,959.105,2883.697
74,1628.953,1175.495,1217.295,1404.819,2147.659,1797.762,1529.542,1050.648,1383.086,1470.042,1918.141,2800.049,1876.219,1817.837,2802.138,2031.656,1719.199,1785.469,952.242,2861.421
76,1596.099,1189.563,1315.905,1405.407,2148.88,1790.934,1501.172,1008.44,1397.539,1438.208,1980.518,2802.198,1884.455,1706.298,2694.062,1957.023,1732.637,1759.242,955.176,2793.47
78,1675.075,1244.222,1184.65,1413.344,2115.284,1770.049,1520.448,1035.469,1329.794,1441.977,1969.383,2804.469,1922.562,1620.481,2730.23,1964.456,1677.934,1728.047,979.664,2799.858
80,1652.558,1211.16,1197.648,1376.032,1859.814,1837.765,1478.695,1075.841,1385.086,1451.904,1915.701,2784.299,1796.467,1727.303,2685.081,1867.097,1651.188,1733.988,1009.039,2771.581
82,1727.22,1163.102,1317.547,1430.865,1888.264,1827.355,1468.539,1072.13,1439.828,1463.615,1943.573,2862.81,1906.094,1600.788,2692.67,1972.582,1730.461,1802.133,1074.895,2836.43
84,1693.689,1132.345,1206.885,1318.106,1975.731,1776.149,1439.185,1055.393,1390.479,1525.247,1979.622,2851.406,1790.795,1572.361,2674.672,1950.593,1869.164,1745.641,1048.055,2778.908
86,1730.504,1248.352,1269.264,1401.851,1997,1899.418,1499.784,1094.789,1433.404,1464.055,2062.229,2853.255,1875.413,1574.183,2672.748,1977.691,1807.98,1824.074,1018.766,2797.099
88,1715.322,1155.099,1153.246,1435.35,1988.312,1825.289,1473.706,1015.854,1406.435,1420.201,2015.255,2795.958,1768.717,1668.308,2658.848,2050.456,1942.957,1805.941,1004.688,2775.955
90,1677.901,1233,1213.748,1425.547,1993.822,1765.682,1511.562,1022.857,1385.487,1484.698,2016.107,2836.023,1811.855,1547.75,2702.361,1945.777,1932.121,1749.855,1033.316,2782.101
92,1722.241,1185.229,1251.897,1405.318,2063.831,1776.991,1457.424,989.021,1386.573,1457.724,2024.612,2922.781,1843.395,1605.438,2690.128,1996.45,1883.617,1810.734,1118.875,2763.057
94,1749.617,1184.413,1299.825,1413.504,2118.026,1796.163,1515.667,1046.018,1424.016,1557.875,2077.979,2921.513,1879.766,1602.202,2759.024,2042.659,1937.102,1776.512,1044.426,2655.255
96,1724.186,1274.485,1281.384,1417.384,2171.261,1856.67,1527.609,1030.917,1413.435,1562.99,2126.372,2865.148,1856.993,1520.12,2679.696,1998.811,1919.336,1851.219,1062.762,2756.166
98,1746.51,1286.423,1244.149,1405.063,2225.166,1890.533,1590.122,1021.995,1409.654,1669.549,2076.474,2903.706,1838.357,1637.659,2666.518,1946.9,1950.566,1842.75,1048.066,2662.456
