time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11
710,1919.978,1651.112,1442.348,3588.588,3537.949,3643.722,2105.172,2250.591,819.223,1284.763,1055.587
720,1868.876,1742.575,1420.75,3568.356,3563.635,3481.371,2066.853,2247.226,821.641,1344.598,1021.314
730,1882.65,1595.225,1425.223,3512.068,3456.876,3593.794,2121.106,2312.715,906.918,1338.464,1021.116
740,1944.007,1780.325,1446.286,3551.203,3438.394,3434.031,2064.515,2354.883,854.039,1234.784,1034.785
750,1959.416,1763.625,1516.393,3607.486,3513.759,3466.907,2112.663,2308.321,921.109,1400.433,956.976
760,1869.146,1648.188,1458.411,3554.13,3445.978,3452.237,2130.202,2268.423,843.848,1313.206,1021.553
770,1983.752,1732.338,1372.955,3493.734,3325.92,3487.969,2055.556,2286.715,894.809,1365.186,1064.584
780,1903.584,1684.2,1410.964,3510.124,3514.993,3462.804,2077.742,2136.182,833.391,1212.835,1048.137
790,2053.314,1745.325,1451.839,3556.198,3420.423,3501.495,2082.219,2152.766,835.004,1135.773,1047.235
800,1859.978,1740.362,1291.5,3505.26,3383.343,3394.536,2114.971,2091.372,899.059,1245.68,1072.239
810,2053.752,1730.938,1474.402,3466.328,3442.796,3377.144,2049.157,2094.197,832.438,1257.608,1036.427
820,1894.307,1591.463,1413.205,3465.164,3476.73,3459.258,2118.652,2154.81,856.562,1323.928,1042.874
830,1944.285,1639.8,1343.67,3475.418,3407.599,3341.454,2074.393,2056.015,902.27,1365.577,1075.799
840,1967.007,1695.013,1272.554,3506.028,3312.088,3362.814,2037.014,2122.54,857.438,1298.01,1102.167
850,1954.416,1626.275,1367.795,3457.136,3319.307,3366.505,2046.681,2077.65,842.441,1227.784,1006.918
860,2012.825,1729.338,1453.062,3521.989,3467.985,3394.082,2105.033,2089.139,878.254,1250.031,1108.092
870,1936.628,1630.787,1277.179,3422.938,3406.774,3342.093,2044.434,2136.234,874.277,1170.454,1065.829
880,1868.62,1539.537,1417.848,3413.04,3430.153,3349.546,2112.626,2096.934,826.395,1263.536,1030.007
890,1861.818,1488.213,1386.804,3393.944,3526.708,3403.784,2163.053,2187.35,869.035,1247.876,1113.833
900,1910.591,1605.975,1437.027,3335.079,3437.526,3380.309,2061.198,2077.818,827.34,1328.918,1095.416
910,1879.146,1716.287,1377.223,3383.232,3446.832,3431.67,2122.562,2042.803,865.16,1309.732,1104.73
920,1930.496,1608.95,1424.304,3336.458,3442.401,3331.402,2071.346,2124.949,837.406,1123.619,1043.703
930,1850.277,1674.138,1523.866,3361.288,3490.489,3471.876,2121.411,2173.35,832.758,1184.68,1055.549
940,1905.153,1636.575,1426.268,3336.006,3444.511,3363.072,2079.333,2163.774,747.953,1267.546,1055.887
950,1868.299,1577.45,1456.598,3426.011,3518.642,3436.01,2023.047,2138.985,819.004,1165.392,1057.85
960,1869.518,1611.263,1401.357,3407.073,3474.445,3394.557,2082.067,2130.35,846.625,1283.608,1052.843
