time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20
1600,2272.693,845.062,975.688,1248.005,451.832,1551.469,905.605,879.766,804.043,1215.625,1908.35,1013.685,1260.971,1116.332,2688.686,527.804,1289.991,1195.357,1761.057,632.622
1640,2320.219,858.049,889.433,1203.274,408.962,1632.297,912.742,836.598,845.324,1117.043,1887.287,1032.292,1247.94,1087.918,2660.87,486.144,1296.866,1238.964,1827.84,640.169
1680,2280.487,898.221,955.087,1199.005,429.317,1578.199,995.746,833.016,818.973,1139.078,1917.378,994,1308.129,1092.461,2615.352,466.144,1124.625,1239.545,1781.436,650.708
1720,2242.906,888.031,1001.361,1274.673,461.317,1499.688,967.512,857.324,827.164,1137.859,1864.997,972.808,1312.659,1048.977,2597.099,541.443,1252.071,1174.241,1752.318,629.43
1760,2270.971,919.661,1022.188,1159.534,490.558,1572.703,1002.906,876.469,842.02,1168.016,1952.785,1046.679,1341.857,1053.914,2636.509,531.464,1160.661,1238.018,1830.054,641.837
1800,2293.521,891.794,1059.197,1122.582,429.885,1574.605,1026.996,925.145,876.172,1195.477,2011.507,1035.768,1385.736,1030.102,2659.423,651.742,1259.312,1211.366,1789.599,666.318
1840,2200.349,817.547,1017.423,1063.615,389.962,1546.84,953.43,848.156,811.281,1110.711,2007.304,983.877,1333.504,1117.395,2674.826,503.959,1274.875,1157.018,1753.381,668.433
1880,2240.862,856.076,966.077,1066.981,442.716,1548.309,961.625,898.863,851.852,1140.914,1969.235,965.026,1332.069,1187.516,2680.147,516.711,1253.902,1314.929,1748.504,724.08
1920,2255.419,800.404,992.918,1170.341,407.413,1533.465,999.996,847.09,806.473,1113.941,2066.596,982.937,1415.845,1182.035,2605.949,414.34,1252.616,1314.348,1790.112,691.542
1960,2207.701,867.523,948.5,1138.12,358.495,1543.938,950.348,851.535,845.523,1151.391,2022.189,965.903,1374.67,1209.398,2637.932,558.237,1221.411,1197.018,1714.911,735.011
2000,2279.443,871.99,964.88,1094.639,384.375,1578.949,936.734,799.395,857.215,1066.445,2033.41,997.158,1324.218,1174.082,2611.877,524.361,1252.866,1199.089,1760.301,702.751
2040,2427.956,864.367,939,1173.769,417.865,1534.098,986.598,827.887,834.965,1088.129,2024.037,1009.266,1350.049,1198.805,2665.908,559.732,1181.188,1182.375,1755.602,773.126
2080,2297.513,875.456,965.476,1135.207,426.212,1525.699,1034.84,891.367,856.918,1136.898,2104.797,1008.822,1398.401,1095.93,2675.341,483.845,1180.884,1230.348,1681.424,729.702
2120,2409.026,851.565,989.99,1125.538,359.01,1495.191,981.098,919.637,855.723,1112.309,2004.948,1030.57,1321.905,1048.047,2655.481,500.402,1281.688,1225.152,1748.479,728.032
2160,2534.781,888.232,961.712,1172.409,373.034,1545.578,985.246,918.727,873.746,1247.332,2056.946,1016.49,1395.424,1073.059,2623.993,476.144,1313.821,1315.027,1706.395,779.673
2200,2501.82,927.393,946.399,1083.649,382.014,1579.395,986.629,843.395,845.422,1132.582,1925.693,965.009,1292.587,1086.633,2707.956,559.546,1123.562,1191.429,1626.917,750.513
2240,2412.13,1015.63,968.769,1092.188,385.144,1470.836,975.672,866.852,822.242,1139.816,1948.628,979.716,1311.948,1153.883,2661.116,470.887,1156.545,1251.446,1637.155,721.02
2280,2479.133,870.906,927.332,994.442,438.274,1529.16,969.312,869.445,835.355,1121.633,1958.625,987.427,1354.258,1212.68,2621.771,571.299,1261,1158.518,1760.034,721.479
2320,2424.393,826.01,926.712,1092.212,419.495,1534.551,946.176,944.074,858.977,1097.625,1952.172,1008.625,1347.834,1162.555,2649.608,552.268,1238.027,1202.286,1643.782,744.218
2360,2404.711,871.255,877.12,1022.125,461.111,1460.41,915.727,966.98,828.531,1120.469,2022.948,1013.393,1292.607,1140.598,2696.471,563.959,1208.089,1105.384,1656.189,732.911
2400,2355.995,904.049,880.721,955.048,428.625,1562.086,877.191,955.332,854.156,1150.293,1961.968,998.888,1280.825,1128.535,2695.676,465.155,1199.929,1179.286,1675.275,711.92
