time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24
1640,1199.859,1610.904,1739.583,1439.917,1797.412,1725.35,2490.08,1894.029,1965.51,1147.93,2179.926,1793.188,1547.145,1458.883,2176.301,3399.723,1451.833,2579.504,2525.816,3071.885,3129.997,2304.328,3689.677,1782.951
1680,1291.423,1711,1698.577,1480.756,1760.78,1753.26,2519.277,1860.124,1984.129,1122.355,2089.324,1845.996,1629.434,1406.402,2312.258,3391.469,1450.897,2655.696,2608.851,2972.06,3119.29,2365.891,3670.409,1706.896
1720,1315.66,1664.859,1759.929,1435.667,1818.977,1863.011,2583.839,1811.139,1954.264,1133.516,2145.578,1792.02,1588.508,1449.703,2182.879,3425.215,1370.109,2649.616,2557.889,2941.347,3122.754,2306.679,3739.076,1758.255
1760,1202.103,1703.321,1710.673,1539.731,1808.068,1783.079,2366.891,1807.526,2001.186,1168.715,2137.781,1780.594,1583.293,1415.414,2210.242,3363.891,1381.417,2723.195,2519.472,2945.103,3108.225,2321.812,3694.503,1753.935
1800,1292.135,1634.237,1696.795,1495.147,1720.955,1863.305,2326.547,1819.934,1988.725,1158.328,2136.777,1771.367,1545.234,1438.688,2177.469,3359.562,1330.41,2691.321,2523.56,2971.553,3081.84,2309.942,3730.534,1775.747
1840,1225.801,1681.006,1704.385,1462.128,1765.966,1761.814,2432.569,1873.971,1947.178,1203.176,2216.73,1817.812,1547.375,1514.129,2244.449,3352.625,1408.218,2711.049,2582.949,2931.023,3038.713,2323.177,3655.135,1779.607
1880,1245.417,1716.404,1743.276,1492.833,1755.463,1822.746,2392.723,1825.197,1880.066,1143.957,2184.699,1765.91,1556.414,1633.41,2170.566,3380,1296.122,2750.885,2638.627,2916.736,3077.294,2309.765,3649.255,1749.224
1920,1242.269,1626.654,1670.16,1483.718,1668.633,1699.712,2328.511,1822.19,1901.971,1103.234,2143.25,1794.613,1542.438,1507.047,2180.727,3277.211,1389.769,2605.665,2631.82,2946.324,3052.085,2264.276,3754.039,1743.648
1960,1289.353,1652.122,1737.801,1504.795,1733.435,1767.266,2582.73,1758.912,1905.464,1146.254,2133.047,1800.055,1551.328,1513.262,2224.586,3394.875,1279.769,2668.527,2600.886,2938.232,3144.416,2252.215,3756.516,1777.354
2000,1258.577,1688.442,1705.128,1506.846,1758.808,1742.701,2618.438,1867.65,1907.98,1128.664,2119.824,1791.672,1603.293,1615.988,2211.863,3408.281,1244.981,2564.94,2529.209,2881.215,3038.232,2312.406,3812.055,1727.185
2040,1270.263,1690.936,1676.622,1520.833,1691.39,1771.537,2672.642,1877.577,1875.777,1077.238,2187.602,1817.316,1496.637,1514.387,2322.824,3280.398,1233.699,2576.47,2409.427,2806.335,3074.423,2133.239,3645.909,1612.612
2080,1318.724,1692.288,1589.603,1414.436,1635.65,1686.254,2692.737,1829.584,1809.301,931.844,2046.156,1685.188,1437.219,1386.555,2169.262,3162.863,1200.718,2503.367,2363.623,2728.567,3018.235,2162.87,3708.12,1613.901
2120,1252.263,1769.038,1668.026,1383.16,1686.339,1689.921,2575.891,1680.956,1764.974,1023.742,1969.352,1630.648,1460.109,1367.164,2143.719,3096.977,1182.545,2423.831,2344.554,2674.602,3020.003,2133.932,3631.234,1673.648
2160,1306.378,1663.385,1667.936,1379.032,1617.927,1638.548,2626.606,1640.905,1836.573,1011.281,2074.879,1654.582,1408.742,1381.637,2243.941,3073.023,1244.455,2413.891,2423.522,2751.258,3027.249,2177.171,3528.104,1761.93
2200,1270.212,1617.968,1655.686,1348.372,1675.277,1704.356,2628.46,1687.365,1823.639,1034.156,2015.781,1588.039,1438.66,1349.332,2186.598,3144.32,1192.891,2429.524,2410.025,2749.891,3049.959,2154.983,3609.005,1766.919
