time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19
2520,3537.499,3088.029,1560.583,2154.823,2160.469,3131.87,1503.919,1955.94,3384.321,2647.876,1173.75,1148.662,7258.851,1872.767,2949.192,2683.296,4267.404,1482.827,2444.163
2560,3523.994,3121.568,1519.07,2138.99,2212.297,3098.253,1503.112,1923.938,3399.238,2569.324,1175.057,1139.775,7146.965,1832.016,2893.597,2691.081,4282.061,1506.896,2437.111
2600,3462.235,3130.523,1538.74,2144.31,2204.044,3054.859,1458.099,1966.32,3389.59,2526.224,1142.5,1183.549,7134.53,1844.378,2851.018,2648.48,4190.582,1517.692,2367.341
2640,3592.461,3219.594,1523.794,2267.117,2223.565,2991.932,1495.315,1992.089,3441.567,2525.707,1148.044,1175.765,7252.967,1865.706,2880.237,2692.614,4176.028,1476.499,2434.399
2680,3522.309,3142.026,1528.432,2227.721,2205.143,2925.893,1534.922,1999.833,3418.544,2547.869,1203.185,1178.143,7240.796,1847.973,2883.01,2688.983,4176.049,1529.22,2396.882
2720,3569.57,3215.898,1497.229,2279.5,2220.885,2949.711,1509.844,1984.57,3420.851,2570.4,1144.269,1193.904,7113.387,1804.327,2858.008,2684.288,4166.523,1546.7,2377.099
2760,3572.364,3248.253,1542.023,2349.784,2209.474,2942.206,1532.128,2040.018,3393.381,2595.433,1197.487,1217.771,7125.517,1811.01,2864.164,2694.627,4207.749,1588.835,2374.265
2800,3617.453,3268.169,1480.958,2354.786,2165.872,3025.651,1551.578,2085.349,3338.542,2490.791,1188.911,1230.778,7244.274,1857.906,2892.658,2669.205,4149.291,1524.328,2406.253
2840,3547.361,3214.458,1538.792,2325.195,2210.44,2977.727,1537.792,2006.839,3336.287,2551.981,1189.515,1188.703,7296.505,1857.313,2918.935,2732.692,4229.995,1567.787,2402.712
2880,3702.817,3212.635,1563.852,2282.667,2199.635,2920.93,1535.182,2118.128,3370.779,2607.972,1155.157,1142.928,7285.499,1920.17,2934.039,2708.662,4270.142,1552.556,2452.508
2920,3696.937,3230.404,1544.706,2295.781,2140.604,3011.367,1516.529,2006.039,3304.736,2588.039,1180.011,1178.935,7288.521,1877.247,2949.237,2776.426,4240.934,1526.555,2443.87
2960,3787.954,3180.607,1507.958,2373.865,2169.773,2964.206,1554.128,2057.706,3389.997,2526.991,1136.337,1184.898,7154.595,1788.372,2953.583,2701.172,4227.04,1510.024,2450.172
3000,3736.072,3246.427,1505.24,2421.271,2203.052,3053.469,1606.844,2124.208,3365.765,2597.543,1156.93,1208.102,7200.605,1823.857,3082.151,2739.392,4160.676,1601.62,2466.818
3040,3671.622,3232.237,1559.372,2393.401,2187.154,2995.135,1620.698,2129.234,3509.837,2690.391,1204.32,1196.877,7189.329,1884.468,3343.348,2753.977,4232.334,1724.981,2502.99
3080,3710.384,3226.5,1542.333,2389.945,2131.435,2979.263,1672.826,2106.497,3474.585,2705.165,1154.096,1218.437,7307.892,1948.431,3349.012,2680.605,4180.456,1703.44,2518.354
3120,3738.817,3277.378,1418.154,2357.31,2126.438,3034.055,1679.312,2178.982,3453.298,2737.837,1168.667,1203.092,7271.693,1933.775,3188.127,2706.269,4151.373,1697.211,2503.194
3160,3805.261,3297.24,1505.302,2387.862,2112.669,3000.971,1656.633,2156.529,3458.513,2734.33,1183.072,1201.635,7251.62,1932.346,3186.229,2678.461,4111.315,1638.787,2477.458
3200,3694.55,3241.729,1493.755,2387.198,2212.378,3001.984,1569.43,2139.453,3321.748,2702.376,1141.783,1165.754,7299.951,1955.669,3096.374,2664.555,4093.085,1615.919,2434.525
3240,3678.47,3238.693,1523.635,2411.354,2149,3091.719,1618.096,2085.076,3314.309,2720.256,1182.046,1192.184,7347.908,1957.012,3066.691,2711.965,4040.153,1661.36,2492.13
3280,3729.415,3287.318,1596.513,2438.966,2131.479,3136.831,1697.073,2117.794,3258.742,2750.726,1240.483,1196.577,7243.986,1994.356,3082.409,2731.57,4059.418,1637.002,2428.102
3320,3692.605,3303.518,1570.008,2436.883,2210.276,3023.117,1610.971,2085.901,3281.163,2752.222,1178.806,1215.696,7424.002,1935.11,3080.687,2680.536,4057.314,1625.832,2451.373
3360,3615.668,3207.669,1489,2364.914,2206.169,3037.339,1637.185,2031.742,3195.043,2713.726,1170.378,1179.737,7277.427,1923.996,3118.444,2703.915,4241.575,1649.428,2416.147
3400,3672.427,3210.5,1486.232,2439.633,2147.971,3011.797,1703.297,2070.031,3174.155,2681.757,1161.154,1262.628,7279.515,1959.329,3200.64,2610.913,4190.206,1603.418,2439.724
3440,3668.195,3129.086,1428.117,2434.198,2168.323,2903.539,1666.229,2043.706,3105.991,2601.931,1181.917,1237.372,7294.485,1941.914,3123.092,2564.222,4206.556,1621.858,2398.503
3480,3701.287,3091.38,1514.565,2352.695,2142.258,2888.206,1638.794,2061.26,3126.284,2642.696,1163.77,1308.201,7369.814,2012.002,3152.941,2624.648,4262.27,1646.969,2417.922
