time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18
1880,3886.918,4668.98,4475.475,1596.38,2944.997,1426.544,2489.307,1678.988,2028.991,2437.526,1415.573,2211.172,3624.221,1728.143,1817.693,1354.708,1642,1501.782
1920,3829.796,4629.35,4501.732,1557.344,2803.076,1433.492,2494.26,1625.178,2003.396,2444.557,1395.483,2214.795,3257.461,1660.909,1740.501,1330.125,1637.56,1471.864
1960,3877.871,4521.139,4586.969,1617.176,2857.547,1513.591,2489.609,1624.556,2019.387,2440.412,1384.452,2202.451,3328.433,1702.208,1791.517,1409.981,1661.639,1505.013
2000,3794.589,4597.959,4454.741,1571.124,2779.56,1517.414,2486.229,1608.456,2003.24,2447.471,1401.706,2199.463,3361.662,1660.357,1749.312,1334.735,1598.003,1470.108
2040,3777.219,4537.534,4380.107,1578.632,2792.826,1487.609,2495.74,1615.848,2041.982,2395.83,1412.916,2240.565,3323.938,1645.394,1720.83,1342.994,1563.025,1485.712
2080,3799.898,4684.646,4496.836,1570.881,2713.091,1452.807,2476.357,1577.905,1998.298,2450.943,1440.18,2304.938,3385.609,1681.294,1824.177,1378.678,1589.972,1481.003
2120,3824.816,4662.611,4451.171,1559.048,2716.583,1363.315,2448,1610.979,1988.191,2492.601,1381.636,2313.602,3329.471,1706.922,1793.481,1379.17,1560.491,1447.861
2160,3791.352,4543.63,4382.024,1551.04,2675.224,1420.206,2452.247,1579.425,1962.102,2499.174,1368.742,2310.859,3390.843,1617.374,1833.369,1358.707,1542.864,1401.13
2200,3752.941,4595.503,4339.686,1552.183,2683.307,1446.198,2482.375,1552.988,2021.271,2485.492,1414.344,2376.407,3380.161,1651.866,1853.863,1374.388,1573.627,1456.981
2240,3745.99,4551.767,4330.349,1557.746,2730.164,1444.63,2463.427,1582.99,1979.218,2512.273,1387.935,2326.709,3271.432,1659.879,1798.441,1377.676,1552.671,1431.775
2280,3792.399,4602.072,4285.955,1541.413,2696.247,1447.732,2378.161,1543.074,1996.622,2506.515,1399.771,2286.018,3283.831,1605.714,1785.233,1351.987,1491.225,1473.487
2320,3826.892,4486.2,4315.221,1564,2687.201,1474.536,2468.477,1558.679,1982.316,2495.127,1406.268,2241.523,3279.687,1647.925,1794.741,1371.623,1525.025,1446.345
2360,3780.577,4479.374,4488.451,1536.599,2727.185,1480.833,2490.766,1622.893,1940.156,2565.753,1478.004,2292.865,3339.334,1687.676,1819.832,1386.282,1521.706,1481.532
2400,3744.286,4556.777,4365.363,1604.494,2745.185,1482.534,2457.193,1641.922,2030.569,2537.83,1436.689,2254.904,3366.474,1698.747,1842.551,1364.207,1524.003,1456.326
2440,3763.99,4573.47,4304.067,1516.413,2654.667,1495.805,2418.802,1663.736,1994.804,2463.943,1434.495,2244.635,3320.211,1676.476,1846.559,1393.47,1534.598,1423.908
2480,3742.824,4676.712,4356.349,1523.772,2701.667,1566.026,2460.352,1623.843,1921.209,2472.107,1412.393,2249.167,3306.821,1643.275,1820.875,1349.556,1503.845,1447.475
2520,3762.076,4794.401,4397.254,1559.392,2700.664,1503.724,2489.643,1615.743,2017.453,2479.093,1399.135,2247.583,3338.214,1698.353,1860.503,1367.005,1522.737,1363.351
2560,3718.716,4684.898,4351.076,1549.152,2737.995,1495.93,2417.596,1560.869,2014.387,2483.274,1380.36,2280.893,3290.235,1647.402,1826.477,1314.801,1503.722,1379.968
2600,3703.609,4689.599,4353.952,1521.836,2737.039,1544.013,2432.583,1571.428,1978.04,2504.063,1401.162,2369.299,3507,1664.876,1948.755,1343.129,1526.921,1393.753
2640,3760.507,4607.335,4364.596,1562.458,2810.292,1482.789,2428.055,1612.648,1973.738,2415.394,1402.62,2285.343,3351.19,1643.56,1872.495,1356.468,1498.184,1315.93
2680,3721.102,4454.266,4310.594,1538.789,2794.789,1578.831,2447.693,1522.508,1971.92,2414.183,1392.331,2306.804,3334.911,1668.753,1878.985,1349.789,1561.959,1332.003
2720,3687.808,4484.059,4379.033,1534.691,2729.836,1444.346,2437.128,1518.033,1960.373,2456.769,1378.241,2252.502,3273.562,1652.346,1856.483,1343.595,1503.006,1325.161
2760,3737.219,4471.211,4366.119,1554.39,2680.224,1455.487,2360.945,1536.862,1980.644,2409.37,1402.871,2330.135,3384.557,1652.905,1897.965,1367.056,1439.108,1287.93
2800,3735.904,4506.548,4306.373,1559.368,2711.635,1531.469,2443.023,1604.912,2038.236,2461.427,1367.067,2304.946,3339.032,1615.762,1922.345,1386.957,1467.082,1268.56
2840,3714.816,4442.765,4347.945,1537.062,2696.294,1480.633,2423.591,1597.052,2086.462,2463.021,1357.176,2302.498,3299.375,1674.589,1948.245,1363.026,1538.902,1296.19
2880,3693.429,4445.607,4461.209,1558.116,2657.346,1477.034,2400.815,1604.221,2029.116,2397.463,1374.059,2351.128,3361.794,1674.738,1958.201,1362.246,1537.934,1338.525
2920,3707.609,4479.779,4437.024,1565.85,2703.424,1566.232,2361.927,1554.071,2060.938,2456.99,1335.051,2283.536,3338.076,1654.684,1933.132,1336.729,1536.244,1330.259
2960,3794.294,4430.38,4498.159,1543.734,2650.102,1584.846,2410.75,1506.473,2062.133,2476.628,1320.906,2383.516,3303.336,1667.559,1901.598,1358.906,1534.595,1339.753
3000,3722.92,4504.096,4496.734,1527.245,2674.917,1609.375,2356.31,1558.378,2017.733,2499.341,1359.695,2375.69,3448.308,1661.411,1943.312,1345.856,1480.478,1341.108
3040,3750.783,4372.434,4497.456,1561.629,2634.628,1597.461,2336.914,1559.72,2044.164,2536.349,1323.501,2397.144,3427.157,1673.224,1953.321,1344.19,1445.047,1378.804
