time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14
490,1191.01,1651.769,2139.703,3258.701,2747.635,2333.124,7634.73,3250.676,4219.333,2790.777,6859.536,3434.268,2491.463,2026.32
500,1149.526,1676.962,2100.892,3233.794,2738.051,2305.505,7922.622,3267.297,4197.739,2851.446,6947.482,3513.339,2407.787,2101.515
510,1196.505,1683.596,2124.243,3269.021,2737.584,2380.619,7795.27,3421.811,4225.188,2891.116,6916.571,3510.161,2450.863,2065.124
520,1182.619,1699.673,2108.703,3175.381,2747.964,2350.938,7587.595,3281.108,4181.058,2791.545,6858.125,3532.366,2413.425,2098.907
530,1122.959,1711.404,2071.622,3221.258,2764.401,2339.876,7607.108,3311.541,4183.391,2755.661,7008.5,3585.027,2469.463,2034.938
540,1111.969,1717.577,2028.324,3216.619,2773.985,2299.031,7698.946,3292.541,4307.261,2756.482,6995.116,3563.089,2332.062,2104.68
550,1218.856,1781.788,2050.459,3298.062,2736.117,2357.485,7697.405,3248.838,4303.826,2842.866,7007.312,3554.679,2406.912,2110.866
560,1146.567,1672.981,2083.568,3264.33,2763.547,2338.196,7786.865,3188.378,4185.261,2741.955,6941.473,3462.92,2434.488,2069.144
570,1171.402,1679.577,2065.676,3264.237,2811.088,2349.093,7876.541,3252.351,4117.638,2749.152,7177.098,3554.679,2448.2,2095.144
580,1110.062,1642.365,2048.811,3297.969,2853.343,2381.052,7904.297,3206.595,4019.957,2692.696,6963.259,3514.17,2447.963,1991.959
590,1109.557,1641.673,2104,3246.804,2846.336,2363.124,7596.649,3112.135,4270.638,2721.304,6940.08,3624.571,2383.65,2123.165
600,1133.103,1629.481,2114.054,3404.278,2847.095,2328.021,7930.243,3282.757,4260.536,2722.473,6920.348,3661.482,2667.15,2119.268
610,1167.856,1661.308,2074.162,3393.33,2807.606,2349.588,7787.514,3255.73,4412.101,2734.42,6998.973,3719.179,2753.975,2190.423
620,1150.577,1605.077,2153.757,3304.711,2824.686,2408.299,7470.27,3129.946,4283.71,2744.964,7050.393,3665.759,2689.725,2178.825
630,1155.979,1599.654,2044.919,3325.567,2802.511,2341.175,7809.595,3250.541,4226.116,2654.518,7076.607,3625.652,2638.738,2245.103
640,1108.093,1539.154,2056.135,3288.082,2865.934,2440.928,7756.676,3239.486,4168.493,2765.911,7089.232,3693.402,2575.725,2181.825
650,1085.701,1585.288,2089.649,3414.021,2835.591,2387.598,7707.838,3050.405,4116.536,2686.562,7277.929,3541.652,2604.6,2169.969
660,1104.598,1616.404,2081.622,3424.546,2808.299,2310.68,7694.541,3149,4326.362,2676.134,7258.562,3668.277,2554.25,2189.701
670,1109.68,1578.788,2122.757,3392.969,2775.139,2385.804,7658.108,3236.946,4203.435,2701.884,7282.545,3700.875,2696.162,2185.794
680,1102.289,1621.481,2040.838,3384.268,2802.029,2338.536,7575.811,3358.622,4342.739,2750.455,7234.295,3713.464,2564.363,2123.351
690,1146.546,1750,2018.811,3342,2781.496,2402.814,7469,2820.216,4377,2709.214,7165.625,3634.196,2462.213,2138.66
700,1108.082,1499.058,2039.622,3357.794,2822.628,2413.134,7598.919,3033.838,4480.101,2673.955,6917.688,3485.25,2447.662,2168.649
710,1079.753,1565.712,2020.054,3336.567,2821.62,2324.794,7514.216,2929.919,4385.522,2705.964,7094.536,3634.473,2433.55,2196.113
720,1167.381,1573.192,2112.297,3328.392,2866.38,2342.979,7415.135,3186.703,4357.478,2709.821,7187.134,3557.562,2416.275,2198.237
730,1097.423,1547.288,2011.757,3273.711,2809.664,2303.546,7478.027,3068.432,4445.217,2637.312,7248.08,3459.25,2393.912,2200.526
740,1092.66,1706.673,2067.459,3367.567,2819.73,2476.546,7455.946,2896.946,4345.826,2669.58,7147.991,3554.054,2378.363,2189.351
750,1144.866,1695.788,1963,3365.856,2819.664,2293.371,7332.189,3014.027,4332.188,2751.009,7103.027,3624.143,2455.162,2199.763
760,1132.68,1599.673,2037.919,3427.392,2827.65,2408.784,7292.919,3146.838,4303.145,2680.17,7160.214,3575.696,2407.7,2259.938
770,1130.443,1741.615,2005.432,3355.557,2783.438,2321.01,7488.459,3227.081,4181.043,2668.393,7210.688,3531.946,2417.225,2320.918
780,1144.144,1718.038,2161.595,3346.639,2766.19,2177.536,7512.595,3098.973,4314.841,2666.696,7278.714,3628.009,2480.812,2308.464
790,1142.948,1657.135,2014.973,3366.701,2758.124,2326.67,7592.757,3216.514,4256.783,2726.375,7325.75,3648.411,2521.312,2351.753
800,1097.072,1638.519,2077.432,3336.928,2822.861,2361.093,7781.135,3045.595,4195.812,2644.134,7395.214,3671.161,2456.575,2324.608
810,1147.515,1607.231,2049.486,3346.093,2800.511,2391.454,7687.811,3143.892,4302.232,2636.223,7311.804,3488.071,2445.287,2217.629
820,1104.33,1622.404,1919.351,3340.371,2786.117,2403.103,7883.73,3072.595,4236.812,2675.33,7326.696,3624.911,2517.213,2238.495
830,1073.608,1619.346,2019.351,3404.299,2871.292,2358.268,7768.892,2919.405,4275.884,2629.911,7413.527,3591.705,2481.662,2326.062
840,1144.67,1702.308,1944.838,3372.32,2846.088,2443.454,7767.054,3037.162,4350.362,2700.205,7377.652,3707.08,2498.95,2339.639
850,1127.062,1649.462,2038,3295.887,2866.555,2370.938,7439.486,2912.162,4218.696,2715.089,7647.196,3667.741,2542.137,2355.948
860,1135.825,1646.577,2131.27,3293.175,2867.35,2300.443,7449.054,3013.162,4287.145,2737.768,7464.893,3614.009,2461.275,2361.598
870,1148.052,1604.423,2044.919,3314.835,2815.818,2388.567,7362.676,3148.432,4235.275,2776.205,7655.616,3810.982,2483.975,2254.041
880,1160.835,1641.865,1924.811,3371.753,2821.263,2382.309,7432.811,2966.189,4118.188,2715.357,7629.134,3634.92,2496.838,2286.66
890,1134.619,1695.962,1927.351,3376.577,2905.81,2348.845,7604.243,2924.919,4309.913,2793.75,7650.634,3762.946,2633.325,2261.175
900,1155.794,1620.135,2003.459,3340.186,2808.277,2390.278,7401.405,2915.541,4197.362,2729.545,7530.5,3704.929,2429.012,2305.691
910,1140.67,1684.404,2102.811,3412.649,2869.526,2350.412,7611.108,2922.135,4220.58,2792.125,7683.741,3819.723,2512.887,2291.835
