time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11
770,7885.948,7525.927,12600.214,10160.485,13471.883,16015.987,3397.378,8307.58,7441.711,4682.65,9083.356
780,7910.557,7474.73,12465.357,10100.495,13528.168,15827.8,3382.199,8464.942,7550.607,4698.212,9060.274
790,7871.959,7437.124,12397.464,10124.742,13392.584,15708.862,3358.455,8472.986,7487.078,4708.401,9191.889
800,7895.443,7394.117,12609,10072.134,13188.978,16000.763,3284.686,8230.551,7530.206,4644.956,9119.707
810,7972.021,7326.35,12445.295,10088.969,13402.204,15866.525,3319.186,8224.232,7535.555,4508.131,9046.394
820,8041.928,7373.956,12564.571,9872.155,13192.599,15902.562,3284.301,8305.203,7559.042,4509.299,8881.582
830,7841.031,7335.898,12615.446,9627.526,13382.109,16064.087,3279,8183.783,7506.609,4625.109,8844.106
840,8207.165,7272.803,12636.232,9897.773,13252.175,15993.075,3315.064,8242.725,7502.328,4577.445,8878.351
850,7864.485,7338.088,12572.08,9850.186,13328.803,15904.212,3231.763,8141.565,7524.786,4528.825,8993.923
860,7884.165,7416.248,12549.857,9823.268,13517.365,15931.3,3341.173,8207.449,7597.026,4557.161,8950.5
870,7857.588,7317.737,12500.045,9749.175,13285.19,15921.212,3354.179,8202.174,7448.799,4502.204,8951.135
880,8190.856,7255.599,12363.018,9766.742,13599.971,15888.237,3288.686,8203.377,7549.07,4570.489,8908.649
890,8041.124,7312.372,12619.732,9821.165,13775.19,16088.9,3239.032,8391.072,7550.609,4623.431,8832.548
900,8065.845,7234.044,12313.009,9979.959,13689.182,15797.85,3240.288,8458.594,7716.401,4531.672,8754.505
910,8156.371,7268.832,12295.857,9830.907,13578.036,16128.275,3194.91,8463,7649.042,4561.693,8741.654
