time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
820,4187.728,2001.456,791.032,1854.711,978.035,2402.484,2515.2,1997.147,1922.898,1906.391
830,4030.135,2114.372,863.032,1881.391,867.285,2328.706,2504.938,1978.031,1906.018,1840.858
840,4101.774,2067.138,847.006,1877.18,973.848,2371.435,2514.502,1970.227,1934.849,1817.693
850,4088.693,2072.264,837.509,1906.516,913.427,2429.185,2543.418,1932.956,1979.88,1855.782
860,4196.324,2053.112,847.085,1870.393,910.139,2459.57,2586.511,1970.987,1919.849,1849.009
870,4251.479,2040.559,797.886,1859.435,979.772,2420.646,2529.849,1918.458,1898.453,1777.982
880,4206.255,2058.029,820.12,1872.693,927.354,2364.568,2503.556,1902.356,1843.013,1801.302
890,4148.074,2084.384,832.703,1906.135,971.997,2351.93,2477.707,1925.582,1874.018,1845.369
900,4125.324,2049.255,830.677,1848.049,944.484,2390.323,2453.791,1950.804,1919.991,1826.827
910,4056.731,2088.957,762.864,1885.26,968.946,2416.497,2466.524,1874.342,1793.702,1753.218
920,4095.464,2150.779,814.418,1860.354,971.598,2472.013,2557.956,2001.324,1836.756,1867.302
930,4166.504,2096.874,804.117,1828.318,984.978,2391.083,2575.716,1933.742,1826.76,1872.627
940,4106.937,2091.636,817.573,1881.479,917.557,2421.492,2459.151,1890.147,1796.382,1822.636
950,4133.201,2110.977,830.487,1888.154,934.127,2441.74,2512.689,1942.351,1845.28,1882.409
960,4196.814,2110.977,857.468,1847.232,923.111,2361.237,2539.751,1866.964,1820.418,1826.338
